               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.020162,           0.0099649,          0.00073975,             0.95963,             0.97212,             0.98366,             0.79557,            0.021024,           0.0042814,          0.00038997,            0.007459,            0.007459,            0.007459
                  79,            0.020842,           0.0099442,           0.0011733,             0.94954,             0.97446,             0.98493,             0.78078,            0.019829,            0.004442,           0.0003991,            0.007426,            0.007426,            0.007426
                  80,            0.020601,            0.010052,           0.0012254,             0.97109,             0.93856,             0.97813,             0.77432,             0.02038,            0.004546,          0.00046672,            0.007393,            0.007393,            0.007393
                  81,            0.020091,            0.010102,          0.00082439,             0.95121,             0.93887,             0.97777,              0.7745,            0.020157,           0.0044982,           0.0004699,             0.00736,             0.00736,             0.00736
                  82,            0.020879,           0.0098424,           0.0011929,             0.97478,             0.97126,             0.99031,             0.80017,            0.019575,           0.0041758,          0.00046309,            0.007327,            0.007327,            0.007327
                  83,            0.020392,           0.0097541,          0.00069967,             0.96608,              0.9636,             0.97994,              0.8019,             0.01955,            0.004207,           0.0006955,            0.007294,            0.007294,            0.007294
                  84,            0.021052,           0.0099587,          0.00063783,             0.96059,             0.97591,             0.98464,             0.78845,            0.020314,           0.0042908,           0.0008672,            0.007261,            0.007261,            0.007261
                  85,            0.020295,           0.0094544,          0.00068492,             0.97549,             0.92761,             0.98152,             0.79153,            0.020771,           0.0047169,          0.00029524,            0.007228,            0.007228,            0.007228
                  86,            0.019444,           0.0091415,          0.00058654,             0.96911,             0.94459,             0.97991,             0.80344,            0.019836,            0.004511,          0.00042752,            0.007195,            0.007195,            0.007195
                  87,            0.020281,           0.0096821,           0.0013396,             0.96874,             0.95324,             0.98053,             0.78459,            0.020726,           0.0044373,          0.00032088,            0.007162,            0.007162,            0.007162
                  88,            0.020831,           0.0097279,          0.00055866,             0.97124,             0.94444,             0.98108,             0.79249,            0.020187,            0.004766,          0.00062015,            0.007129,            0.007129,            0.007129
                  89,            0.019727,           0.0091912,          0.00088336,              0.9802,             0.94633,              0.9706,             0.78669,            0.020385,           0.0048317,            0.001132,            0.007096,            0.007096,            0.007096
                  90,            0.019424,           0.0095023,           0.0006707,             0.98003,             0.94122,             0.97836,             0.78859,            0.020599,           0.0045838,             0.00065,            0.007063,            0.007063,            0.007063
